ID,Aname,AisMale,Aage,Aheight,Aweight,AtimePro,AtimeUFC,Awins,Alosses,AwinStk,AwinGra,AwinDec,AwinOtr,AlossStk,AlossGra,AlossDec,AlossOtr,Al3Wins,Al3Losses,Al3WinStk,Al3WinGra,Al3WinDec,Al3WinOtr,Al3LossStk,Al3LossGra,Al3LossDec,Al3LossOtr,AufcCount,AavgLength,Astreak,Bname,BisMale,Bage,Bheight,Bweight,BtimePro,BtimeUFC,Bwins,Blosses,BwinStk,BwinGra,BwinDec,BwinOtr,BlossStk,BlossGra,BlossDec,BlossOtr,Bl3Wins,Bl3Losses,Bl3WinStk,Bl3WinGra,Bl3WinDec,Bl3WinOtr,Bl3LossStk,Bl3LossGra,Bl3LossDec,Bl3LossOtr,BufcCount,BavgLength,Bstreak,Event,Result,ResultBy,ResultIn
Paulo Thiago vs. Sean Spencer | UFC Fight Night 51 - Bigfoot vs. Arlovski 2,Paulo Thiago,1,12284,71,170,3360,2030,15,7,2,8,5,0,2,0,5,0,1,2,0,0,1,0,1,0,1,0,12,564,-2,Sean Spencer,1,9942,70,170,1960,595,11,3,2,2,7,0,0,2,1,0,2,1,0,0,2,0,0,0,1,0,4,704,-1,UFC Fight Night 51 - Bigfoot vs. Arlovski 2,0,0,0
Godofredo Castro vs. Mike de la Torre | UFC Fight Night 95 - Cyborg vs. Lansberg,Godofredo Castro,1,10677,70,145,4667,1554,12,4,4,7,1,0,2,0,2,0,2,1,0,2,0,0,0,0,1,0,8,334,-1,Mike de la Torre,1,10960,72,155,3689,892,14,5,7,5,2,0,1,3,1,0,2,1,1,0,1,0,1,0,0,0,5,329,1,UFC Fight Night 95 - Cyborg vs. Lansberg,1,2,1
Alexander Gustafsson vs. Matt Hamill | UFC 133 - Evans vs. Ortiz 2,Matt Hamill,1,12723,74,205,2170,1869,10,3,6,0,3,0,1,0,2,0,2,1,0,0,2,0,0,0,1,0,12,545,-1,Alexander Gustafsson,1,8969,76,205,1358,630,11,1,7,3,1,0,0,1,0,0,2,1,0,2,0,0,0,1,0,0,4,285,2,UFC 133 - Evans vs. Ortiz 2,0,1,1
Dean Lister vs. Jordan Radev | UFC 79 - Nemesis,Dean Lister,1,11642,73,185,2660,581,9,5,0,8,1,0,0,0,5,0,2,1,0,1,1,0,0,0,1,0,3,523,-1,Jordan Radev,1,11622,67,170,1869,200,11,2,4,2,2,1,1,0,1,0,2,1,0,0,0,0,1,0,0,0,1,357,-1,UFC 79 - Nemesis,1,0,0
Matthew Lopez vs. Rani Yahya | UFC Fight Night 91 - McDonald vs. Lineker,Rani Yahya,1,11539,66,135,5051,1999,21,8,0,13,5,0,2,1,4,0,2,0,0,1,1,0,0,0,0,0,9,406,2,Matthew Lopez,1,10766,67,135,1145,0,8,0,3,4,1,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,230,8,UFC Fight Night 91 - McDonald vs. Lineker,1,2,1
Christian Morecraft vs. Sean McCorkle | UFC Fight Night 24 - Nogueira vs. Davis,Sean McCorkle,1,12670,79,312,1982,182,10,1,7,2,1,0,1,0,0,0,2,1,1,1,0,0,1,0,0,0,2,222,-1,Christian Morecraft,1,8965,78,261,1078,231,6,1,3,3,0,0,1,0,0,0,2,1,1,1,0,0,1,0,0,0,1,119,-1,UFC Fight Night 24 - Nogueira vs. Davis,0,2,1
Bethe Correia vs. Jessica Eye | UFC 203 - Miocic vs. Overeem,Bethe Correia,0,12134,64,135,1563,1008,9,2,2,0,7,0,1,0,1,0,1,2,1,0,0,0,1,0,1,0,5,722,-2,Jessica Eye,0,11003,66,125,2289,1057,11,5,3,1,7,0,0,1,4,0,0,3,0,0,0,0,0,0,3,0,6,785,-3,UFC 203 - Miocic vs. Overeem,1,0,0
Albert Tumenov vs. Nicholas Musoke | UFC on Fox 14 - Gustafsson vs. Johnson,Nicholas Musoke,1,10521,72,170,2625,455,13,3,4,5,4,0,0,1,2,0,2,1,0,0,2,0,0,0,1,0,4,538,1,Albert Tumenov,1,8430,71,170,1806,343,14,2,10,0,4,0,0,0,2,0,2,1,2,0,0,0,0,0,1,0,3,390,2,UFC on Fox 14 - Gustafsson vs. Johnson,0,0,0
Albert Morales vs. Andre Soukhamthath | UFC 209 - Woodley vs. Thompson 2,Andre Soukhamthath,1,10359,69,135,2002,0,11,3,7,3,1,0,0,0,3,0,3,0,3,0,0,0,0,0,0,0,0,587,3,Albert Morales,1,9415,69,135,778,168,6,1,2,3,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,2,517,-1,UFC 209 - Woodley vs. Thompson 2,0,0,0
Kurt Holobaugh vs. Shane Burgos | UFC 230 - Cormier vs. Lewis,Kurt Holobaugh,1,11744,71,145,2793,2016,17,5,5,7,3,0,1,0,4,0,1,1,1,0,0,0,1,0,0,0,2,575,-1,Shane Burgos,1,10091,71,145,1926,694,10,1,4,4,2,0,1,0,0,0,2,1,1,0,1,0,1,0,0,0,4,457,-1,UFC 230 - Cormier vs. Lewis,0,2,1
Islam Makhachev vs. Nik Lentz | UFC 208 - Holm vs. De Randamie,Islam Makhachev,1,9269,70,155,2386,630,13,1,2,6,5,0,1,0,0,0,2,1,0,1,1,0,1,0,0,0,3,478,1,Nik Lentz,1,11870,68,155,4214,2702,27,7,10,7,10,0,2,2,3,0,2,1,1,0,1,0,0,1,0,0,17,545,2,UFC 208 - Holm vs. De Randamie,1,0,0
Kazuhiro Nakamura vs. Lyoto Machida | UFC 76 - Knockout,Lyoto Machida,1,10707,73,185,1604,231,10,0,3,1,6,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,2,697,10,Kazuhiro Nakamura,1,10295,71,185,1651,0,11,6,2,2,7,0,2,2,2,0,2,1,1,0,1,0,0,0,1,0,0,566,-1,UFC 76 - Knockout,1,0,0
Alessandro Ricci vs. Paul Felder | UFC Fight Night 105 - Lewis vs. Browne,Alessandro Ricci,1,12632,71,155,2263,176,10,4,5,0,5,0,0,0,4,0,2,1,0,0,2,0,0,0,1,0,1,728,-1,Paul Felder,1,11623,70,170,1898,869,12,3,7,1,4,0,1,0,2,0,2,1,0,1,1,0,1,0,0,0,7,648,-1,UFC Fight Night 105 - Lewis vs. Browne,0,1,1
Anthony Johnson vs. Dan Hardy | UFC Fight Night 24 - Nogueira vs. Davis,Anthony Johnson,1,9881,74,205,1681,1383,8,3,6,0,2,0,1,2,0,0,2,1,2,0,0,0,0,1,0,0,8,378,-1,Dan Hardy,1,10540,72,170,2484,889,23,8,12,3,8,0,1,3,2,1,1,2,0,0,1,0,1,0,1,0,6,642,-2,UFC Fight Night 24 - Nogueira vs. Davis,1,0,0
Phil Davis vs. Rashad Evans | UFC on Fox 2 - Evans vs. Davis,Rashad Evans,1,11813,71,205,2849,2275,16,1,7,0,8,0,1,0,0,0,3,0,1,0,2,0,0,0,0,0,13,667,3,Phil Davis,1,9986,74,205,1204,721,9,0,2,3,4,0,0,0,0,0,3,0,0,1,2,0,0,0,0,0,5,518,9,UFC on Fox 2 - Evans vs. Davis,1,0,0
Andre Fili vs. Max Holloway | UFC 172 - Jones vs. Teixeira,Andre Fili,1,8706,70,145,1596,189,13,1,7,3,3,0,1,0,0,0,3,0,2,0,1,0,0,0,0,0,1,487,9,Max Holloway,1,8179,71,145,1323,812,8,3,3,0,5,0,0,1,2,0,1,2,1,0,0,0,0,0,2,0,7,757,1,UFC 172 - Jones vs. Teixeira,0,2,1
Luiz Cane vs. Rameau Thierry Sokoudjou | UFC 89 - Bisping vs. Leben,Rameau Thierry Sokoudjou,1,8949,70,205,826,294,5,2,4,0,1,0,1,1,0,0,2,1,2,0,0,0,0,1,0,0,2,304,1,Luiz Cane,1,10061,74,205,1078,294,9,1,7,0,0,0,0,0,0,1,2,1,2,0,0,0,0,0,0,1,2,48,1,UFC 89 - Bisping vs. Leben,0,1,1
Robert Whittaker vs. Ronaldo Souza | UFC on Fox 24 - Johnson vs. Reis,Robert Whittaker,1,9613,71,185,2954,1582,17,4,8,5,4,0,1,1,2,0,3,0,1,0,2,0,0,0,0,0,10,526,6,Ronaldo Souza,1,13644,73,184,4963,1428,24,4,6,14,4,0,2,0,2,0,2,1,1,1,0,0,0,0,1,0,8,422,2,UFC on Fox 24 - Johnson vs. Reis,1,1,1
Fernando Bruno vs. Glaico Franca | UFC 190 - Rousey vs. Correia,Fernando Bruno,1,12211,66,145,2835,0,15,2,0,8,7,0,0,0,2,0,3,0,0,1,2,0,0,0,0,0,0,545,4,Glaico Franca,1,8920,72,170,1183,0,12,3,6,4,1,0,0,1,2,0,2,1,1,1,0,0,0,0,1,0,0,376,2,UFC 190 - Rousey vs. Correia,0,2,1
Bec Rawlings vs. Lisa Ellis | UFC Fight Night 65 - Miocic vs. Hunt,Lisa Ellis,0,11864,64,110,3837,149,15,9,0,11,4,0,1,6,2,0,1,2,0,1,0,0,1,1,0,0,1,429,-1,Bec Rawlings,0,9584,66,116,1303,149,5,4,1,3,1,0,1,0,3,0,1,2,0,1,0,0,0,0,2,0,1,543,-2,UFC Fight Night 65 - Miocic vs. Hunt,0,2,1
Per Eklund vs. Sam Stout | UFC 80 - Rapid Fire,Per Eklund,1,9929,70,145,2164,0,13,2,2,6,4,0,1,0,1,0,3,0,0,1,2,0,0,0,0,0,0,333,4,Sam Stout,1,8671,69,155,1687,686,12,3,8,1,3,0,0,2,1,0,2,1,2,0,0,0,0,0,1,0,3,493,1,UFC 80 - Rapid Fire,0,0,0
Matt Dwyer vs. Randy Brown | UFC on Fox 18 - Johnson vs. Bader,Randy Brown,1,9337,75,171,624,0,6,0,4,2,0,0,0,0,0,0,3,0,2,1,0,0,0,0,0,0,0,332,6,Matt Dwyer,1,9540,76,170,1624,483,8,3,8,0,0,0,2,0,1,0,1,2,1,0,0,0,1,0,1,0,3,312,-1,UFC on Fox 18 - Johnson vs. Bader,1,0,0
Hector Lombard vs. Neil Magny | UFC Fight Night 85 - Hunt vs. Mir,Hector Lombard,1,13925,69,185,4192,1337,34,4,22,4,8,0,0,0,4,0,2,0,1,0,1,0,0,0,0,0,6,489,2,Neil Magny,1,10456,75,170,2051,1120,17,4,5,3,9,0,0,3,1,0,2,1,0,0,2,0,0,1,0,0,13,702,2,UFC Fight Night 85 - Hunt vs. Mir,0,1,1
Andrei Arlovski vs. Stefan Struve | UFC 222 - Cyborg vs. Kunitskaya,Stefan Struve,1,10971,84,265,4732,3297,28,9,6,17,2,0,6,1,1,0,2,1,1,1,0,0,1,0,0,0,19,269,-1,Andrei Arlovski,1,14272,76,248,6903,6315,26,15,17,3,6,0,10,1,4,0,1,2,0,0,1,0,1,0,1,0,24,475,1,UFC 222 - Cyborg vs. Kunitskaya,0,0,0
Sam Stout vs. Terry Etim | UFC 89 - Bisping vs. Leben,Terry Etim,1,8316,73,155,1255,546,10,2,1,9,0,0,0,0,2,0,1,2,0,1,0,0,0,0,2,0,3,296,-2,Sam Stout,1,8944,69,155,1960,959,13,4,8,1,4,0,0,2,2,0,2,1,1,0,1,0,0,0,1,0,5,541,-1,UFC 89 - Bisping vs. Leben,1,0,0
Darko Stosic vs. Jeremy Kimball | UFC Fight Night 134 - Shogun vs. Smith,Jeremy Kimball,1,10005,72,202,3095,540,15,7,11,1,3,0,1,6,0,0,1,2,1,0,0,0,1,1,0,0,3,366,-1,Darko Stosic,1,9660,72,205,2220,0,12,1,7,1,4,0,0,0,0,0,3,0,2,0,1,0,0,0,0,0,0,351,8,UFC Fight Night 134 - Shogun vs. Smith,0,1,1
Elizeu Zaleski dos Santos vs. Lyman Good | UFC on Fox 25 - Weidman vs. Gastelum,Elizeu Zaleski dos Santos,1,11210,71,170,2813,784,16,5,12,2,2,0,0,2,3,0,2,1,1,0,1,0,0,0,1,0,3,456,2,Lyman Good,1,11745,72,170,4284,738,19,3,9,3,7,0,0,0,3,0,3,0,1,2,0,0,0,0,0,0,1,641,5,UFC on Fox 25 - Weidman vs. Gastelum,1,0,0
Josh Neer vs. Melvin Guillard | UFC Fight Night 3 - Sylvia vs. Silva,Melvin Guillard,1,8328,69,170,1157,72,19,4,13,2,4,0,0,3,1,0,2,0,2,0,0,0,0,0,0,0,1,424,4,Josh Neer,1,8334,71,170,1038,163,15,3,10,3,2,0,0,2,1,0,2,1,1,1,0,0,0,1,0,0,1,434,1,UFC Fight Night 3 - Sylvia vs. Silva,0,2,1
Bojan Velickovic vs. Darren Till | UFC Fight Night 115 - Volkov vs. Struve,Darren Till,1,9018,72,170,1652,826,14,0,9,2,3,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,3,614,14,Bojan Velickovic,1,10485,72,170,2562,510,15,4,4,8,3,0,0,0,4,0,1,1,1,0,0,0,0,0,1,0,4,575,1,UFC Fight Night 115 - Volkov vs. Struve,1,0,0
Erick Montano vs. Randy Brown | UFC Fight Night 94 - Poirier vs. Johnson,Randy Brown,1,9568,75,171,855,231,7,1,4,2,1,0,0,1,0,0,2,1,1,0,1,0,0,1,0,0,2,418,-1,Erick Montano,1,11260,72,170,2891,301,7,3,2,4,1,0,0,3,0,0,3,0,0,2,1,0,0,0,0,0,1,306,3,UFC Fight Night 94 - Poirier vs. Johnson,1,2,1
